190101 overage surcharge  a101 -> 190205 class 3b a205 (frequency = 3938, performance = 1.00)
190205 class 3b a205 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 3396, performance = 1.00)
platelet counting - electronically -> potassium potentiometric (frequency = 2431, performance = 1.00)
190205 class 3b a205 -> acceptance laboratory research (frequency = 2090, performance = 1.00)
potassium potentiometric -> sodium flame photometric (frequency = 1916, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190101 overage surcharge  a101 (frequency = 1694, performance = 86397.85)
hemoglobin photoelectric -> leukocyte counting electronically (frequency = 1590, performance = 1.00)
order tariff -> platelet counting - electronically (frequency = 1549, performance = 1.00)
rhesusfactor d - centrifugeermethode - e -> screening antibodies for erythrocytes (frequency = 1526, performance = 1.00)
leukocyte counting electronically -> order tariff (frequency = 1467, performance = 1.00)
sgot - asat kinetisch -> sgpt - kinetisch tool (frequency = 1432, performance = 1.00)
sgpt - kinetisch tool -> sodium flame photometric (frequency = 1366, performance = 1.00)
differential count automatically -> follow-up consultation on an outpatient basis (frequency = 1254, performance = 1.00)
albumin -> alkaline phosphatase -kinetic- (frequency = 1066, performance = 1.00)
lactic acid dehydrogenase -ldh- kinetic -> leukocyte counting electronically (frequency = 1046, performance = 1.00)
administrative rate - first pol -> follow-up consultation on an outpatient basis (frequency = 1030, performance = 26088.74)
creatinine -> differential count automatically (frequency = 1028, performance = 1.00)
glucose -> hemoglobin photoelectric (frequency = 1028, performance = 1.00)
gammaglutamyltranspeptidase -> glucose (frequency = 961, performance = 1.00)
hemoglobin photoelectric -> lactic acid dehydrogenase -ldh- kinetic (frequency = 940, performance = 1.00)
alkaline phosphatase -kinetic- -> bilirubin - total (frequency = 900, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190205 class 3b a205 (frequency = 899, performance = 86398.78)
bilirubin - total -> bilirubin -conjugated (frequency = 886, performance = 1.00)
follow-up consultation on an outpatient basis -> follow-up consultation on an outpatient basis (frequency = 886, performance = 9331784.76)
sodium flame photometric -> urea (frequency = 844, performance = 1.00)
order tariff -> potassium potentiometric (frequency = 813, performance = 1.00)
hemoglobin photoelectric - urgent -> leucocyte counting -electronic- urgent (frequency = 785, performance = 1.00)
potassium potentiometric -> rhesusfactor d - centrifugeermethode - e (frequency = 772, performance = 1.00)
creatinine -> days of rest - all spec.beh.kinderg.-reval. (frequency = 754, performance = 1.00)
acceptance laboratory research -> creatinine (frequency = 747, performance = 1.00)
hematocrit using centrifuge -> hemoglobin photoelectric (frequency = 745, performance = 1.00)
190021 clinical admission a002 -> 190101 overage surcharge  a101 (frequency = 718, performance = 1.00)
calcium -> creatinine (frequency = 689, performance = 1.00)
leucocyte counting -electronic- urgent -> order tariff (frequency = 661, performance = 1.00)
potassium potentiometric -> sgot - asat kinetisch (frequency = 641, performance = 1.00)
screening antibodies for erythrocytes -> sgot - asat kinetisch (frequency = 625, performance = 1.00)
acceptance laboratory research -> albumin (frequency = 608, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> hemoglobin photoelectric (frequency = 568, performance = 1.00)
bilirubin -conjugated -> blood group abo and rhesus factor (frequency = 563, performance = 1.00)
creatinine -> crp c-reactive protein (frequency = 556, performance = 1.00)
acceptance laboratory research -> blood group abo and rhesus factor (frequency = 540, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> differential count automatically (frequency = 537, performance = 1.00)
counting platelets - urgent -> creatinine - spoed (frequency = 534, performance = 1.00)
administrative rate - first pol -> albumin (frequency = 513, performance = 1.00)
acceptance laboratory research -> administrative rate - first pol (frequency = 505, performance = 1.00)
follow-up consultation on an outpatient basis -> hemoglobin photoelectric - urgent (frequency = 496, performance = 1.00)
potassium flame photometric - pitch -> sodium - flame photometric - pitch (frequency = 486, performance = 1.00)
follow-up consultation on an outpatient basis -> administrative rate - first pol (frequency = 484, performance = 18799854.19)
follow-up consultation on an outpatient basis -> hemoglobin photoelectric (frequency = 479, performance = 1.00)
order tariff -> potassium flame photometric - pitch (frequency = 463, performance = 1.00)
ca-125 mbv half -> calcium (frequency = 462, performance = 1.00)
hemoglobin photoelectric -> order tariff (frequency = 459, performance = 1.00)
counting platelets - urgent -> creatinine (frequency = 424, performance = 1.00)
acceptance laboratory research -> counting platelets - urgent (frequency = 414, performance = 1.00)
190021 clinical admission a002 -> 190205 class 3b a205 (frequency = 407, performance = 1.00)
sodium flame photometric -> 190021 clinical admission a002 (frequency = 390, performance = 356666.73)
1st outpatient consultation -> acceptance laboratory research (frequency = 387, performance = 3126.58)
acceptance laboratory research -> bacteriological examination with culture -nie (frequency = 385, performance = 1.00)
blood group abo and rhesus factor -> ca-125 mbv half (frequency = 385, performance = 1.00)
sodium flame photometric -> squamous cell carcinoma mbv eia (frequency = 383, performance = 1.00)
thorax -> urea (frequency = 380, performance = 1.00)
sodium flame photometric -> 190101 overage surcharge  a101 (frequency = 368, performance = 86386.90)
1st outpatient consultation -> administrative rate - first pol (frequency = 366, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> order tariff (frequency = 361, performance = 1.00)
order tariff -> rhesusfactor d - centrifugeermethode - e (frequency = 358, performance = 1.00)
cea - tumormarker mbv meia -> creatinine (frequency = 354, performance = 1.00)
calcium -> cea - tumormarker mbv meia (frequency = 349, performance = 1.00)
crp c-reactive protein -> days of rest - all spec.beh.kinderg.-reval. (frequency = 345, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> acceptance laboratory research (frequency = 343, performance = 764247.93)
acceptance laboratory research -> days of rest - all spec.beh.kinderg.-reval. (frequency = 329, performance = 1.00)
creatinine -> gammaglutamyltranspeptidase (frequency = 321, performance = 1.00)
190204 class 3a a204 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 318, performance = 1.00)
follow-up consultation on an outpatient basis -> gammaglutamyltranspeptidase (frequency = 317, performance = 1.00)
creatinine - spoed -> differential count automatically (frequency = 310, performance = 1.00)
ca-125 mbv half -> creatinine (frequency = 297, performance = 1.00)
sodium flame photometric -> thorax (frequency = 283, performance = 2138.07)
blood group abo and rhesus factor -> calcium (frequency = 280, performance = 1.00)
follow-up consultation on an outpatient basis -> hematocrit using centrifuge (frequency = 274, performance = 1.00)
o2 saturation -> order tariff (frequency = 273, performance = 1.00)
magnesium  -aas -> order tariff (frequency = 266, performance = 1.00)
methemoglobine - sulfhemoglobine elk -> o2 saturation (frequency = 265, performance = 1.00)
follow-up consultation on an outpatient basis -> telephone consultation (frequency = 257, performance = 3910860.19)
days of rest - all spec.beh.kinderg.-reval. -> filtered erythrocyte concentrate (frequency = 255, performance = 1.00)
gammaglutamyltranspeptidase -> hemoglobin photoelectric (frequency = 255, performance = 1.00)
leukocyte counting electronically -> magnesium  -aas (frequency = 255, performance = 1.00)
acceptance laboratory research -> ca-125 mbv half (frequency = 252, performance = 1.00)
190101 overage surcharge  a101 -> 190204 class 3a a204 (frequency = 251, performance = 1.00)
190035 day care a007 -> day care - all spec.beh.kind.-rev. (frequency = 244, performance = 1.00)
urea -> 190101 overage surcharge  a101 (frequency = 241, performance = 89964.27)
differential count automatically -> gammaglutamyltranspeptidase (frequency = 238, performance = 1.00)
