190101 overage surcharge  a101 -> 190205 class 3b a205 (frequency = 5664, performance = 138.29)
190205 class 3b a205 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 4956, performance = 1.00)
190205 class 3b a205 -> acceptance laboratory research (frequency = 3045, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190101 overage surcharge  a101 (frequency = 2430, performance = 86397.85)
platelet counting - electronically -> potassium potentiometric (frequency = 2430, performance = 1.00)
order tariff -> platelet counting - electronically (frequency = 2354, performance = 1.00)
leukocyte counting electronically -> order tariff (frequency = 2279, performance = 1.00)
potassium potentiometric -> sodium flame photometric (frequency = 1911, performance = 1.00)
hemoglobin photoelectric -> leukocyte counting electronically (frequency = 1584, performance = 1.00)
rhesusfactor d - centrifugeermethode - e -> screening antibodies for erythrocytes (frequency = 1524, performance = 1.00)
sgot - asat kinetisch -> sgpt - kinetisch tool (frequency = 1429, performance = 1.00)
sgpt - kinetisch tool -> sodium flame photometric (frequency = 1362, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190205 class 3b a205 (frequency = 1343, performance = 86398.79)
differential count automatically -> follow-up consultation on an outpatient basis (frequency = 1251, performance = 1.00)
order tariff -> potassium potentiometric (frequency = 1178, performance = 1.00)
acceptance laboratory research -> creatinine (frequency = 1174, performance = 1.00)
creatinine -> days of rest - all spec.beh.kinderg.-reval. (frequency = 1124, performance = 1.00)
albumin -> alkaline phosphatase -kinetic- (frequency = 1066, performance = 1.00)
lactic acid dehydrogenase -ldh- kinetic -> leukocyte counting electronically (frequency = 1043, performance = 1.00)
administrative rate - first pol -> follow-up consultation on an outpatient basis (frequency = 1030, performance = 50163.30)
creatinine -> differential count automatically (frequency = 1025, performance = 1.00)
glucose -> hemoglobin photoelectric (frequency = 1024, performance = 1.00)
190021 clinical admission a002 -> 190101 overage surcharge  a101 (frequency = 1022, performance = 1.00)
gammaglutamyltranspeptidase -> glucose (frequency = 959, performance = 1.00)
hemoglobin photoelectric -> lactic acid dehydrogenase -ldh- kinetic (frequency = 939, performance = 1.00)
leucocyte counting -electronic- urgent -> order tariff (frequency = 902, performance = 1.00)
alkaline phosphatase -kinetic- -> bilirubin - total (frequency = 900, performance = 1.00)
acceptance laboratory research -> albumin (frequency = 892, performance = 1.00)
follow-up consultation on an outpatient basis -> follow-up consultation on an outpatient basis (frequency = 885, performance = 9314310.17)
bilirubin - total -> bilirubin -conjugated (frequency = 884, performance = 1.00)
sodium flame photometric -> urea (frequency = 842, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> hemoglobin photoelectric (frequency = 834, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> differential count automatically (frequency = 797, performance = 1.00)
hemoglobin photoelectric - urgent -> leucocyte counting -electronic- urgent (frequency = 785, performance = 1.00)
acceptance laboratory research -> blood group abo and rhesus factor (frequency = 773, performance = 1.00)
potassium potentiometric -> rhesusfactor d - centrifugeermethode - e (frequency = 771, performance = 1.00)
acceptance laboratory research -> administrative rate - first pol (frequency = 758, performance = 1.00)
hematocrit using centrifuge -> hemoglobin photoelectric (frequency = 743, performance = 1.00)
calcium -> creatinine (frequency = 688, performance = 1.00)
hemoglobin photoelectric -> order tariff (frequency = 655, performance = 1.00)
potassium potentiometric -> sgot - asat kinetisch (frequency = 642, performance = 1.00)
order tariff -> potassium flame photometric - pitch (frequency = 631, performance = 1.00)
screening antibodies for erythrocytes -> sgot - asat kinetisch (frequency = 625, performance = 1.00)
190021 clinical admission a002 -> 190205 class 3b a205 (frequency = 617, performance = 1.00)
1st outpatient consultation -> acceptance laboratory research (frequency = 578, performance = 3588.54)
bilirubin -conjugated -> blood group abo and rhesus factor (frequency = 562, performance = 1.00)
acceptance laboratory research -> counting platelets - urgent (frequency = 556, performance = 1.00)
creatinine -> crp c-reactive protein (frequency = 553, performance = 1.00)
sodium flame photometric -> 190101 overage surcharge  a101 (frequency = 549, performance = 86387.21)
counting platelets - urgent -> creatinine - spoed (frequency = 534, performance = 1.00)
acceptance laboratory research -> bacteriological examination with culture -nie (frequency = 525, performance = 1.00)
crp c-reactive protein -> days of rest - all spec.beh.kinderg.-reval. (frequency = 513, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> order tariff (frequency = 513, performance = 1.00)
administrative rate - first pol -> albumin (frequency = 512, performance = 1.00)
order tariff -> rhesusfactor d - centrifugeermethode - e (frequency = 508, performance = 1.00)
follow-up consultation on an outpatient basis -> hemoglobin photoelectric - urgent (frequency = 496, performance = 1.00)
potassium flame photometric - pitch -> sodium - flame photometric - pitch (frequency = 485, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> acceptance laboratory research (frequency = 484, performance = 825618.21)
follow-up consultation on an outpatient basis -> administrative rate - first pol (frequency = 484, performance = 18799854.19)
follow-up consultation on an outpatient basis -> hemoglobin photoelectric (frequency = 476, performance = 1.00)
acceptance laboratory research -> days of rest - all spec.beh.kinderg.-reval. (frequency = 464, performance = 1.01)
ca-125 mbv half -> calcium (frequency = 461, performance = 1.00)
counting platelets - urgent -> creatinine (frequency = 424, performance = 1.00)
190204 class 3a a204 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 418, performance = 1.00)
o2 saturation -> order tariff (frequency = 402, performance = 1.00)
magnesium  -aas -> order tariff (frequency = 390, performance = 1.00)
sodium flame photometric -> 190021 clinical admission a002 (frequency = 389, performance = 357361.53)
blood group abo and rhesus factor -> ca-125 mbv half (frequency = 385, performance = 1.00)
sodium flame photometric -> squamous cell carcinoma mbv eia (frequency = 383, performance = 1.00)
acceptance laboratory research -> ca-125 mbv half (frequency = 381, performance = 1.00)
thorax -> urea (frequency = 380, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> filtered erythrocyte concentrate (frequency = 373, performance = 1.00)
190101 overage surcharge  a101 -> 190204 class 3a a204 (frequency = 370, performance = 1.00)
urea -> 190101 overage surcharge  a101 (frequency = 370, performance = 88714.80)
1st outpatient consultation -> administrative rate - first pol (frequency = 366, performance = 1.00)
cea - tumormarker mbv meia -> creatinine (frequency = 353, performance = 1.00)
