days of rest - all spec.beh.kinderg.-reval._signed1 -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 22330, performance = 0.33)
days of rest - all spec.beh.kinderg.-reval._signed2 -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 12518, performance = 0.35)
190101 overage surcharge  a101 -> 190205 class 3b a205 (frequency = 3824, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed2 -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 3539, performance = 0.25)
190205 class 3b a205 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 3406, performance = 1.00)
190205 class 3b a205 -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 2070, performance = 0.41)
190205 class 3b a205 -> acceptance laboratory research (frequency = 2000, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 1927, performance = 0.40)
days of rest - all spec.beh.kinderg.-reval._signed2 -> 190205 class 3b a205 (frequency = 1792, performance = 41508.96)
days of rest - all spec.beh.kinderg.-reval._signed2 -> 190101 overage surcharge  a101 (frequency = 1762, performance = 78791.61)
190101 overage surcharge  a101 -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 1717, performance = 0.47)
platelet counting - electronically -> potassium potentiometric (frequency = 1667, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190101 overage surcharge  a101 (frequency = 1659, performance = 86397.86)
order tariff -> platelet counting - electronically (frequency = 1626, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed2 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 1614, performance = 53.90)
leukocyte counting electronically -> order tariff (frequency = 1596, performance = 1.00)
acceptance laboratory research -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 1492, performance = 0.41)
days of rest - all spec.beh.kinderg.-reval._signed1 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 1482, performance = 0.36)
days of rest - all spec.beh.kinderg.-reval._signed2 -> acceptance laboratory research (frequency = 1367, performance = 867031.79)
order tariff -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 1272, performance = 0.40)
potassium potentiometric -> sodium flame photometric (frequency = 1251, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 1208, performance = 0.22)
days of rest - all spec.beh.kinderg.-reval._signed2 -> order tariff (frequency = 1085, performance = 0.38)
days of rest - all spec.beh.kinderg.-reval._signed1 -> 190205 class 3b a205 (frequency = 1055, performance = 0.38)
hemoglobin photoelectric -> leukocyte counting electronically (frequency = 1055, performance = 1.00)
rhesusfactor d - centrifugeermethode - e -> screening antibodies for erythrocytes (frequency = 1054, performance = 1.00)
sgot - asat kinetisch -> sgpt - kinetisch tool (frequency = 1009, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed1 -> order tariff (frequency = 981, performance = 0.36)
sgpt - kinetisch tool -> sodium flame photometric (frequency = 966, performance = 1.00)
administrative rate - first pol -> follow-up consultation on an outpatient basis (frequency = 928, performance = 16852.71)
days of rest - all spec.beh.kinderg.-reval. -> 190205 class 3b a205 (frequency = 927, performance = 86398.83)
follow-up consultation on an outpatient basis -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 906, performance = 0.45)
differential count automatically -> follow-up consultation on an outpatient basis (frequency = 864, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed2 -> follow-up consultation on an outpatient basis (frequency = 829, performance = 2530298.91)
190205 class 3b a205 -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 805, performance = 0.22)
order tariff -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 805, performance = 0.21)
acceptance laboratory research -> creatinine (frequency = 785, performance = 1.00)
order tariff -> potassium potentiometric (frequency = 773, performance = 1.00)
lactic acid dehydrogenase -ldh- kinetic -> leukocyte counting electronically (frequency = 768, performance = 1.00)
sodium flame photometric -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 766, performance = 0.40)
creatinine -> days of rest - all spec.beh.kinderg.-reval. (frequency = 761, performance = 1.00)
albumin -> alkaline phosphatase -kinetic- (frequency = 756, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed1 -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 742, performance = 0.33)
creatinine -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 732, performance = 0.39)
potassium potentiometric -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 729, performance = 0.40)
glucose -> hemoglobin photoelectric (frequency = 715, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed1 -> acceptance laboratory research (frequency = 705, performance = 0.36)
hemoglobin photoelectric -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 705, performance = 0.36)
follow-up consultation on an outpatient basis -> follow-up consultation on an outpatient basis (frequency = 703, performance = 9912402.47)
190021 clinical admission a002 -> 190101 overage surcharge  a101 (frequency = 696, performance = 1.00)
gammaglutamyltranspeptidase -> glucose (frequency = 695, performance = 1.00)
hemoglobin photoelectric -> lactic acid dehydrogenase -ldh- kinetic (frequency = 695, performance = 1.00)
creatinine -> differential count automatically (frequency = 676, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed2 -> sodium flame photometric (frequency = 666, performance = 0.37)
alkaline phosphatase -kinetic- -> bilirubin - total (frequency = 653, performance = 1.00)
bilirubin - total -> bilirubin -conjugated (frequency = 643, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed2 -> potassium potentiometric (frequency = 636, performance = 0.38)
days of rest - all spec.beh.kinderg.-reval._signed2 -> 190021 clinical admission a002 (frequency = 629, performance = 721961.48)
days of rest - all spec.beh.kinderg.-reval._signed2 -> creatinine (frequency = 627, performance = 0.37)
leucocyte counting -electronic- urgent -> order tariff (frequency = 614, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed2 -> hemoglobin photoelectric (frequency = 611, performance = 0.37)
190021 clinical admission a002 -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 603, performance = 0.48)
acceptance laboratory research -> albumin (frequency = 598, performance = 1.00)
acceptance laboratory research -> administrative rate - first pol (frequency = 580, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed1 -> creatinine (frequency = 576, performance = 0.37)
sodium flame photometric -> urea (frequency = 563, performance = 1.00)
leukocyte counting electronically -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 559, performance = 0.37)
acceptance laboratory research -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 558, performance = 0.22)
days of rest - all spec.beh.kinderg.-reval._signed1 -> potassium potentiometric (frequency = 557, performance = 0.35)
days of rest - all spec.beh.kinderg.-reval. -> hemoglobin photoelectric (frequency = 553, performance = 1.00)
potassium potentiometric -> rhesusfactor d - centrifugeermethode - e (frequency = 544, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> differential count automatically (frequency = 533, performance = 1.00)
acceptance laboratory research -> blood group abo and rhesus factor (frequency = 532, performance = 1.00)
hemoglobin photoelectric - urgent -> leucocyte counting -electronic- urgent (frequency = 531, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed1 -> sodium flame photometric (frequency = 522, performance = 0.37)
days of rest - all spec.beh.kinderg.-reval._signed1 -> hemoglobin photoelectric (frequency = 514, performance = 0.36)
hematocrit using centrifuge -> hemoglobin photoelectric (frequency = 502, performance = 1.00)
platelet counting - electronically -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 486, performance = 0.40)
days of rest - all spec.beh.kinderg.-reval._signed2 -> leukocyte counting electronically (frequency = 474, performance = 0.39)
creatinine -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 472, performance = 0.21)
calcium -> creatinine (frequency = 461, performance = 1.00)
potassium potentiometric -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 460, performance = 0.22)
differential count automatically -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 457, performance = 0.37)
screening antibodies for erythrocytes -> sgot - asat kinetisch (frequency = 453, performance = 1.00)
hemoglobin photoelectric -> order tariff (frequency = 449, performance = 1.00)
potassium potentiometric -> sgot - asat kinetisch (frequency = 442, performance = 1.00)
follow-up consultation on an outpatient basis -> administrative rate - first pol (frequency = 433, performance = 19450575.14)
sodium flame photometric -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 430, performance = 0.22)
order tariff -> potassium flame photometric - pitch (frequency = 424, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed2 -> platelet counting - electronically (frequency = 421, performance = 0.38)
1st outpatient consultation -> acceptance laboratory research (frequency = 417, performance = 1451.36)
hemoglobin photoelectric -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 417, performance = 0.20)
bilirubin -conjugated -> blood group abo and rhesus factor (frequency = 415, performance = 1.00)
190021 clinical admission a002 -> 190205 class 3b a205 (frequency = 403, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed2 -> differential count automatically (frequency = 394, performance = 0.40)
days of rest - all spec.beh.kinderg.-reval._signed1 -> leukocyte counting electronically (frequency = 383, performance = 0.36)
acceptance laboratory research -> counting platelets - urgent (frequency = 379, performance = 1.00)
administrative rate - first pol -> albumin (frequency = 374, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed1 -> platelet counting - electronically (frequency = 365, performance = 0.35)
order tariff -> rhesusfactor d - centrifugeermethode - e (frequency = 360, performance = 1.00)
counting platelets - urgent -> creatinine - spoed (frequency = 358, performance = 1.00)
sodium flame photometric -> 190101 overage surcharge  a101 (frequency = 355, performance = 86387.33)
days of rest - all spec.beh.kinderg.-reval. -> order tariff (frequency = 350, performance = 1.00)
creatinine -> crp c-reactive protein (frequency = 349, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed1 -> differential count automatically (frequency = 348, performance = 0.37)
acceptance laboratory research -> bacteriological examination with culture -nie (frequency = 346, performance = 1.00)
follow-up consultation on an outpatient basis -> hemoglobin photoelectric - urgent (frequency = 342, performance = 1.00)
follow-up consultation on an outpatient basis -> hemoglobin photoelectric (frequency = 341, performance = 1.00)
ca-125 mbv half -> calcium (frequency = 339, performance = 1.00)
potassium flame photometric - pitch -> sodium - flame photometric - pitch (frequency = 334, performance = 1.00)
crp c-reactive protein -> days of rest - all spec.beh.kinderg.-reval. (frequency = 322, performance = 1.00)
190204 class 3a a204 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 311, performance = 1.00)
urea -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 306, performance = 0.42)
days of rest - all spec.beh.kinderg.-reval._signed1 -> follow-up consultation on an outpatient basis (frequency = 305, performance = 0.36)
leukocyte counting electronically -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 305, performance = 0.22)
acceptance laboratory research -> days of rest - all spec.beh.kinderg.-reval. (frequency = 303, performance = 1.00)
platelet counting - electronically -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 302, performance = 0.22)
days of rest - all spec.beh.kinderg.-reval. -> acceptance laboratory research (frequency = 295, performance = 912030.91)
screening antibodies for erythrocytes -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 294, performance = 0.42)
190101 overage surcharge  a101 -> 190204 class 3a a204 (frequency = 291, performance = 1.00)
acceptance laboratory research -> ca-125 mbv half (frequency = 288, performance = 1.00)
differential count automatically -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 285, performance = 0.20)
rhesusfactor d - centrifugeermethode - e -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 283, performance = 0.39)
1st outpatient consultation -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 280, performance = 0.48)
thorax -> urea (frequency = 275, performance = 1.00)
blood group abo and rhesus factor -> ca-125 mbv half (frequency = 273, performance = 1.00)
1st outpatient consultation -> administrative rate - first pol (frequency = 270, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed2 -> telephone consultation (frequency = 270, performance = 1486395.24)
telephone consultation -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 269, performance = 0.49)
counting platelets - urgent -> creatinine (frequency = 268, performance = 1.00)
sodium flame photometric -> squamous cell carcinoma mbv eia (frequency = 268, performance = 1.00)
o2 saturation -> order tariff (frequency = 267, performance = 1.00)
blood group abo and rhesus factor -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 266, performance = 0.39)
albumin -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 265, performance = 0.39)
sgpt - kinetisch tool -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 264, performance = 0.37)
sgot - asat kinetisch -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 263, performance = 0.38)
calcium -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 260, performance = 0.38)
glucose -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 259, performance = 0.39)
cea - tumormarker mbv meia -> creatinine (frequency = 257, performance = 1.00)
calcium -> cea - tumormarker mbv meia (frequency = 255, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval._signed2 -> screening antibodies for erythrocytes (frequency = 254, performance = 0.37)
administrative rate - first pol -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 251, performance = 0.42)
days of rest - all spec.beh.kinderg.-reval._signed1 -> urea (frequency = 249, performance = 0.36)
alkaline phosphatase -kinetic- -> days of rest - all spec.beh.kinderg.-reval._signed1 (frequency = 246, performance = 0.36)
days of rest - all spec.beh.kinderg.-reval._signed2 -> sgpt - kinetisch tool (frequency = 246, performance = 0.40)
follow-up consultation on an outpatient basis -> days of rest - all spec.beh.kinderg.-reval._signed2 (frequency = 245, performance = 0.21)
