190101 overage surcharge  a101 -> 190205 class 3b a205 (frequency = 5151, performance = 1.00)
190205 class 3b a205 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 4517, performance = 1.00)
190205 class 3b a205 -> acceptance laboratory research (frequency = 2788, performance = 1.00)
platelet counting - electronically -> potassium potentiometric (frequency = 2431, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190101 overage surcharge  a101 (frequency = 2222, performance = 86397.85)
order tariff -> platelet counting - electronically (frequency = 2161, performance = 1.00)
leukocyte counting electronically -> order tariff (frequency = 2087, performance = 1.00)
potassium potentiometric -> sodium flame photometric (frequency = 1916, performance = 1.00)
hemoglobin photoelectric -> leukocyte counting electronically (frequency = 1590, performance = 1.00)
rhesusfactor d - centrifugeermethode - e -> screening antibodies for erythrocytes (frequency = 1526, performance = 1.00)
sgot - asat kinetisch -> sgpt - kinetisch tool (frequency = 1432, performance = 1.00)
sgpt - kinetisch tool -> sodium flame photometric (frequency = 1366, performance = 1.00)
differential count automatically -> follow-up consultation on an outpatient basis (frequency = 1254, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190205 class 3b a205 (frequency = 1239, performance = 86398.79)
acceptance laboratory research -> creatinine (frequency = 1087, performance = 1.00)
albumin -> alkaline phosphatase -kinetic- (frequency = 1066, performance = 1.00)
lactic acid dehydrogenase -ldh- kinetic -> leukocyte counting electronically (frequency = 1046, performance = 1.00)
order tariff -> potassium potentiometric (frequency = 1036, performance = 1.00)
creatinine -> days of rest - all spec.beh.kinderg.-reval. (frequency = 1035, performance = 1.00)
administrative rate - first pol -> follow-up consultation on an outpatient basis (frequency = 1030, performance = 26088.74)
creatinine -> differential count automatically (frequency = 1028, performance = 1.00)
glucose -> hemoglobin photoelectric (frequency = 1028, performance = 1.00)
gammaglutamyltranspeptidase -> glucose (frequency = 961, performance = 1.00)
hemoglobin photoelectric -> lactic acid dehydrogenase -ldh- kinetic (frequency = 940, performance = 1.00)
190021 clinical admission a002 -> 190101 overage surcharge  a101 (frequency = 926, performance = 1.00)
alkaline phosphatase -kinetic- -> bilirubin - total (frequency = 900, performance = 1.00)
bilirubin - total -> bilirubin -conjugated (frequency = 886, performance = 1.00)
follow-up consultation on an outpatient basis -> follow-up consultation on an outpatient basis (frequency = 886, performance = 9331784.76)
sodium flame photometric -> urea (frequency = 844, performance = 1.00)
acceptance laboratory research -> albumin (frequency = 818, performance = 1.00)
leucocyte counting -electronic- urgent -> order tariff (frequency = 787, performance = 1.00)
hemoglobin photoelectric - urgent -> leucocyte counting -electronic- urgent (frequency = 785, performance = 1.00)
potassium potentiometric -> rhesusfactor d - centrifugeermethode - e (frequency = 772, performance = 1.00)
