Case,Timestamp,Resource,Activity,Activity_fixed,label
1003,2024-06-18 20:45:00,,strat,strat,distorted label(Interchange)
1003,2024-06-18 20:59:42,Waiter-000003,Review qdrinks,Review drinks,distorted label(Insert)
1007,2024-06-20 18:10:48,Cook-000002,Prepare main cvourse,Prepare main course,distorted label(Insert)
101,2024-05-09 19:35:00,Waiter-000002,review drinks,Review drinks,distorted label(UpLow)
1015,2024-06-20 21:25:23,Cook-000001,Prepare main coruse,Prepare main course,distorted label(Interchange)
1021,2024-06-19 01:15:00,,stat,statr,distorted label(Skip)
1021,2024-06-19 01:15:50,Waiter-000004,Review orcer,Review order,distorted label(Proximity)
1025,2024-06-19 18:21:32,Barman-000001,prspare drinks,prepare drinks,distorted label(Proximity)
1025,2024-06-19 18:39:44,Barman-000001,zBring drinks,Bring drinks,distorted label(Insert)
1034,2024-06-25 19:09:04,,EVENT 8 EDN,EVENT 8 END,distorted label(Interchange)
1047,2024-06-20 00:30:41,Waiter-000003,review drinks,Review drinks,distorted label(UpLow)
1047,2024-06-26 01:14:55,Waiter-000002,Deliver toh customer,Deliver to customer,distorted label(Insert)
106,2024-05-09 20:33:03,Waiter-000002,Reivew order,Review order,distorted label(Interchange)
1063,2024-06-20 19:45:00,Waiter-000001,Take orer,Take orer,distorted label(Skip)
1066,2024-06-20 20:30:00,,satrt,satrt,distorted label(Interchange)
1066,2024-06-20 20:36:58,Cook helper-000001,prepare starter,Prepare starter,distorted label(UpLow)
1066,2024-06-20 20:59:10,Barman-000003,prepare dribks,prepare drinks,distorted label(Proximity)
1066,2024-06-26 20:49:25,,eVENT 8 END,EVENT 8 END,distorted label(UpLow)
1070,2024-06-20 21:31:46,Waiter-000004,Revieworder,Review order,distorted label(Skip)
1070,2024-06-26 21:43:46,Cook-000003,signal food complete,Signal food complete,distorted label(UpLow)
1080,2024-06-21 00:00:00,,Start,start,distorted label(UpLow)
1098,2024-06-27 21:21:43,Cook-000001,SignNal food complete,Signal food complete,distorted label(Insert)
110,2024-05-09 22:09:00,Cook-000002,signal food complete,Signal food complete,distorted label(UpLow)
1103,2024-06-21 21:46:15,Cook helper-000002,Preare starter,Prepare starter,distorted label(Skip)
1114,2024-06-22 00:52:11,Barman-000002,Bring drins,Bring drinks,distorted label(Skip)
1125,2024-06-24 19:31:35,Waiter-000005,review drinks,Review drinks,distorted label(UpLow)
1126,2024-06-24 19:37:03,Waiter-000004,Review deinks,Review drinks,distorted label(Proximity)
1126,2024-06-26 18:30:45,,EVtENT 8 END,EVENT 8 END,distorted label(Insert)
1133,2024-06-28 23:39:37,Cook-000003,Signal food comllete,Signal food complete,distorted label(Proximity)
1134,2024-06-24 21:37:00,Waiter-000001,Review drJinks,Review drinks,distorted label(Insert)
1140,2024-06-29 01:29:50,,EVEN T8 END,EVEN T8 END,distorted label(Interchange)
115,2024-05-09 23:53:19,Waiter-000002,review drinks,Review drinks,distorted label(UpLow)
1157,2024-06-27 20:44:48,Cook-000001,prepare main course,Prepare main course,distorted label(UpLow)
1175,2024-06-28 01:24:08,Cook-000001,Prepare man course,Prepare main course,distorted label(Skip)
1186,2024-06-28 20:31:14,Cook-000002,PrepMare main course,Prepare main course,distorted label(Insert)
1186,2024-07-02 23:42:36,,EVNET 8 END,EVNET 8 END,distorted label(Interchange)
1195,2024-07-03 00:46:32,Cook helper-000002,Bringf ood,Bringf ood,distorted label(Interchange)
1197,2024-06-26 21:26:32,Waiter-000004,review drinks,Review drinks,distorted label(UpLow)
1197,2024-07-03 01:23:38,Cook-000001,signal food complete,Signal food complete,distorted label(UpLow)
1198,2024-07-03 01:11:55,Cook-000001,Signal food complte,Signal food complete,distorted label(Skip)
1198,2024-07-03 01:25:21,Waiter-000003,"De,iver to customer",Deliver to customer,distorted label(Proximity)
1202,2024-06-26 22:39:05,Waiter-000004,Review drinls,Review drinks,distorted label(Proximity)
1204,2024-06-26 23:12:19,Waiter-000003,Review dirnks,Review drinks,distorted label(Interchange)
1207,2024-06-26 23:45:06,Waiter-000003,ReviewI order,Review order,distorted label(Insert)
1207,2024-06-29 00:12:01,Cook-000002,Prepare mani course,Prepare main course,distorted label(Interchange)
121,2024-05-10 00:46:05,Cook-000003,signal food complete,Signal food complete,distorted label(UpLow)
1213,2024-06-27 01:32:18,Waiter-000004,review drinks,Review drinks,distorted label(UpLow)
1213,2024-06-27 01:49:07,Waiter-000003,Review drins,Review drinks,distorted label(Skip)
1213,2024-07-03 20:38:54,Cook helper-000001,BringT food,BringT food,distorted label(Insert)
1218,2024-07-01 19:20:10,,eVENT 8 END,EVENT 8 END,distorted label(UpLow)
1222,2024-07-04 00:30:08,Waiter-000004,Deliver to custoGmer,Deliver to customer,distorted label(Insert)
1224,2024-06-27 20:04:24,Barman-000002,prepare drinkks,prepare drinks,distorted label(Insert)
1225,2024-06-27 20:16:21,Barman-000003,peepare drinks,prepare drinks,distorted label(Proximity)
1232,2024-06-27 22:03:41,Waiter-000004,Review roder,Review order,distorted label(Interchange)
1235,2024-07-04 18:53:53,Cook-000002,ignal food complete,Signal food complete,distorted label(Skip)
1242,2024-06-28 00:56:22,Waiter-000005,Revew drinks,Review drinks,distorted label(Skip)
1245,2024-06-28 01:15:00,Waiter-000003,Take ordrr,Take order,distorted label(Proximity)
1248,2024-07-04 22:10:25,,EVENT 8 iEND,EVENT 8 END,distorted label(Insert)
1254,2024-06-28 19:43:16,Barman-000002,prpare drinks,prepare drinks,distorted label(Skip)
1257,2024-07-05 01:00:16,Cook-000001,Signl food complete,Signal food complete,distorted label(Skip)
1257,2024-07-05 01:17:17,Cook helper-000002,Brnig food,Brnig food,distorted label(Interchange)
1270,2024-07-05 20:24:33,,EVENT 8 ENS,EVENT 8 END,distorted label(Proximity)
128,2024-05-10 18:00:00,Waiter-000001,Takeorder,Takeorder,distorted label(Skip)
128,2024-05-10 19:38:39,Waiter-000003,Deliver ot customer,Deliver to customer,distorted label(Interchange)
1289,2024-07-01 20:15:00,,Start,start,distorted label(UpLow)
1294,2024-07-01 21:31:54,Waiter-000003,Revie worder,Review order,distorted label(Interchange)
1294,2024-07-01 21:32:47,Cook helper-000002,Prepare tsarter,Prepare starter,distorted label(Interchange)
1300,2024-07-01 23:32:39,Waiter-000004,Review dinks,Review drinks,distorted label(Skip)
1306,2024-07-02 00:41:46,Barman-000001,bring drinks,Bring drinks,distorted label(UpLow)
1306,2024-07-02 00:50:09,Waiter-000001,review drinks,Review drinks,distorted label(UpLow)
1309,2024-07-02 01:15:00,Waiter-000004,Take ordezr,Take order,distorted label(Insert)
1321,2024-07-02 20:21:51,Barman-000003,prepare drihks,prepare drinks,distorted label(Proximity)
1321,2024-07-02 20:31:09,Barman-000002,Bring drnks,Bring drinks,distorted label(Skip)
1321,2024-07-02 20:37:16,Waiter-000005,review drinks,Review drinks,distorted label(UpLow)
1321,2024-07-04 22:33:15,Cook-000002,Prepanre main course,Prepare main course,distorted label(Insert)
1329,2024-07-02 22:18:27,Waiter-000001,Review drinkd,Review drinks,distorted label(Proximity)
1333,2024-07-02 23:15:00,,sart,tsart,distorted label(Skip)
1335,2024-07-02 23:46:31,Waiter-000005,Reviewo rder,Review order,distorted label(Interchange)
1335,2024-07-05 18:06:31,Cook-000001,Prepar emain course,Prepare main course,distorted label(Interchange)
1337,2024-07-03 00:17:07,Waiter-000005,Revie order,Review order,distorted label(Skip)
1339,2024-07-03 01:01:44,Waiter-000003,Rveiew drinks,Review drinks,distorted label(Interchange)
1343,2024-07-03 01:45:15,Waiter-000003,Reviea order,Review order,distorted label(Proximity)
1351,2024-07-03 19:50:33,Waiter-000001,Rueview order,Review order,distorted label(Insert)
1352,2024-07-10 20:34:51,Cook helper-000001,Bring f;od,Bring food,distorted label(Proximity)
1354,2024-07-10 21:14:32,Waiter-000005,DeliveXr to customer,Deliver to customer,distorted label(Insert)
