send confirmation receipt -> send confirmation receipt (frequency = 466, performance = 126.65)
send confirmation receipt -> start WABOprocedure (frequency = 395, performance = 234.38)
regular procedure without MER -> send confirmation receipt (frequency = 390, performance = 1.01)
request complete -> send letter in progress (frequency = 357, performance = 5083.34)
forward to the competent authority -> phase application received (frequency = 349, performance = 1.00)
registration date publication -> regular procedure without MER (frequency = 347, performance = 1.00)
creating environmental permit decision -> decision date prior to decision (frequency = 332, performance = 1.00)
OLO messaging active -> create procedure confirmation (frequency = 316, performance = 1.00)
phase decision sent -> phase decision taken (frequency = 309, performance = 1.00)
create procedure confirmation -> create publication document (frequency = 308, performance = 14958.10)
phase advice known -> phase application receptive (frequency = 308, performance = 1.00)
grounds for refusal -> phase advice known (frequency = 307, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit (frequency = 303, performance = 1.00)
register submission date request -> phase application received (frequency = 287, performance = 471874.73)
register submission date request -> OLO messaging active (frequency = 274, performance = 511192.40)
article 34  WABO applies -> ask stakeholders views (frequency = 271, performance = 1.00)
request complete -> phase advice known (frequency = 251, performance = 86576.56)
procedure change -> request complete (frequency = 249, performance = 1.14)
send letter in progress -> set decision status (frequency = 247, performance = 1.00)
phase application received -> send confirmation receipt (frequency = 244, performance = 6815.11)
set decision phase decision permitting decided -> start decision phase decision permitting sent (frequency = 241, performance = 15774.79)
send confirmation receipt -> send procedure confirmation (frequency = 231, performance = 10901.79)
enter senddate decision environmental permit -> phase decision sent (frequency = 227, performance = 1.04)
generating decision environmental permit -> grounds for refusal (frequency = 211, performance = 1.00)
regular procedure without MER -> start WABOprocedure (frequency = 198, performance = 1.02)
procedure change -> procedure change (frequency = 192, performance = 1.00)
by law -> completed subcases content (frequency = 191, performance = 1.00)
submit decision -> suspension ground applicable (frequency = 189, performance = 1.00)
completed subcases content -> coordination of application (frequency = 185, performance = 1.00)
ask stakeholders views -> assessment of content completed (frequency = 184, performance = 1.00)
register submission date request -> enter senddate acknowledgement (frequency = 181, performance = 707666.78)
assessment of content completed -> by law (frequency = 176, performance = 1.00)
phase advice known -> grounds for refusal (frequency = 170, performance = 2.31)
create publication document -> create subcases completeness (frequency = 169, performance = 1.00)
create publication document -> forward to the competent authority (frequency = 165, performance = 1.01)
record date of decision environmental permit -> set decision phase decision permitting decided (frequency = 163, performance = 1.00)
enter senddate decision environmental permit -> generating decision environmental permit (frequency = 162, performance = 1.00)
phase decision taken -> register objection and appeal periods (frequency = 160, performance = 1.02)
send confirmation receipt -> regular procedure without MER (frequency = 159, performance = 16453.29)
enter senddate acknowledgement -> enter senddate procedure confirmation (frequency = 155, performance = 677102.08)
start WABOprocedure -> article 34  WABO applies (frequency = 155, performance = 2515337.08)
phase advice known -> creating environmental permit decision (frequency = 152, performance = 144037.13)
create subcases completeness -> forward to the competent authority (frequency = 148, performance = 1.00)
ask stakeholders views -> by law (frequency = 147, performance = 1.05)
set decision status -> submit decision (frequency = 145, performance = 1728.86)
phase application received -> registration date publication (frequency = 144, performance = 1.01)
transcript decision environmental permit to stakeholders -> enter senddate decision environmental permit (frequency = 142, performance = 139725.98)
phase decision ready -> phase decision sent (frequency = 140, performance = 1.52)
enter senddate decision environmental permit -> register date environmental permit decision (frequency = 138, performance = 1.00)
publish -> registration date publication (frequency = 138, performance = 1.01)
register date environmental permit decision -> enter date publication decision environmental permit (frequency = 130, performance = 668631.55)
by law -> creating environmental permit decision (frequency = 127, performance = 1.02)
phase application receptive -> phase decision ready (frequency = 127, performance = 1.01)
phase application receptive -> procedure change (frequency = 127, performance = 1.02)
creating environmental permit decision -> register date environmental permit decision (frequency = 125, performance = 507050.22)
phase application received -> publish (frequency = 125, performance = 1.00)
suspension ground applicable -> treat subcases content (frequency = 125, performance = 1.00)
creating cover letter decision -> enter senddate decision (frequency = 122, performance = 1.01)
send procedure confirmation -> request complete (frequency = 120, performance = 2262137.83)
creating cover letter decision -> creating environmental permit decision (frequency = 118, performance = 1.00)
procedure change -> procedure change after completeness (frequency = 117, performance = 1.00)
enter senddate decision environmental permit -> record date of decision environmental permit (frequency = 114, performance = 381.97)
register objection and appeal periods -> set decision phase decision permitting decided (frequency = 111, performance = 1.00)
suspension ground applicable -> by law (frequency = 111, performance = 1.00)
creating environmental permit decision -> enter senddate decision environmental permit (frequency = 110, performance = 770395.93)
by law -> coordination of application (frequency = 109, performance = 1.01)
suspension ground applicable -> transcript decision environmental permit to stakeholders (frequency = 108, performance = 8679.52)
request complete -> retrieve missing data (frequency = 106, performance = 1.00)
register submission date request -> send confirmation receipt (frequency = 104, performance = 1512455.25)
decision date prior to decision -> generating decision environmental permit (frequency = 99, performance = 1.00)
phase decision taken -> procedure change (frequency = 98, performance = 1.00)
submit decision -> transcript decision environmental permit to stakeholders (frequency = 98, performance = 91.76)
set decision status -> suspension ground applicable (frequency = 96, performance = 1.03)
phase decision ready -> procedure change (frequency = 94, performance = 1.00)
grounds for refusal -> ask stakeholders views (frequency = 91, performance = 1.00)
enter senddate procedure confirmation -> registrer date of publishing received request (frequency = 89, performance = 458212.30)
assessment of content completed -> phase advice known (frequency = 86, performance = 1.00)
register objection and appeal periods -> request complete (frequency = 85, performance = 1.00)
send letter in progress -> treat subcases content (frequency = 85, performance = 1.21)
generating decision environmental permit -> phase decision ready (frequency = 83, performance = 1.00)
treat subcases content -> completed subcases content (frequency = 83, performance = 1.01)
create subcases content -> creating environmental permit decision (frequency = 82, performance = 1.01)
retrieve missing data -> term for supplying missing data (frequency = 82, performance = 1.00)
terminate on request -> send confirmation receipt (frequency = 82, performance = 38.76)
phase application received -> terminate on request (frequency = 81, performance = 1.00)
phase archived case -> phase case handled (frequency = 81, performance = 1.00)
coordination of application -> create subcases completeness (frequency = 80, performance = 1.01)
coordination of application -> creating environmental permit decision (frequency = 79, performance = 1.01)
start WABOprocedure -> create letter requesting missing data (frequency = 78, performance = 2342656.38)
article 34  WABO applies -> assessment of content completed (frequency = 77, performance = 1.03)
ask stakeholders views -> suspension ground applicable (frequency = 77, performance = 1.00)
coordination of application -> create subcases content (frequency = 75, performance = 1.00)
decision date prior to decision -> enter senddate decision (frequency = 74, performance = 1.00)
decision date prior to decision -> grounds for refusal (frequency = 74, performance = 1.04)
phase decision irrevocable -> read publication date field (frequency = 73, performance = 1.00)
send procedure confirmation -> registration date publication (frequency = 73, performance = 838411.32)
enter senddate decision environmental permit -> enter date publication decision environmental permit (frequency = 72, performance = 494350.78)
read publication date field -> read publication date field (frequency = 71, performance = 1.00)
read publication date field -> stop all running subcases 2b (frequency = 71, performance = 7667.30)
register date environmental permit decision -> enter senddate decision environmental permit (frequency = 70, performance = 232069.49)
enter senddate procedure confirmation -> send procedure confirmation (frequency = 69, performance = 59674.77)
procedure change -> register objection and appeal periods (frequency = 69, performance = 1.00)
procedure change after completeness -> request complete (frequency = 69, performance = 1.01)
start WABOprocedure -> enter senddate procedure confirmation (frequency = 68, performance = 469.43)
phase advice known -> ask stakeholders views (frequency = 67, performance = 1.04)
phase case handled -> phase decision irrevocable (frequency = 65, performance = 1.00)
enter date decision procedure term extension -> enter senddate decision procedure term extension (frequency = 63, performance = 4709.16)
register objection and appeal periods -> transcript decision environmental permit to stakeholders (frequency = 63, performance = 1.00)
registrer date of publishing received request -> request complete (frequency = 63, performance = 944307.13)
enter receipt of additional data -> phase additional information received (frequency = 62, performance = 34899.27)
enter senddate decision environmental permit -> start decision phase decision permitting sent (frequency = 62, performance = 1.00)
enter senddate procedure confirmation -> enter senddate procedure confirmation (frequency = 62, performance = 229994.06)
record date of decision environmental permit -> register objection and appeal periods (frequency = 62, performance = 1.00)
set decision phase decision permitting decided -> set decision status (frequency = 61, performance = 1.00)
treat subcases content -> creating cover letter decision (frequency = 61, performance = 687279.44)
phase asked additional information -> procedure change (frequency = 60, performance = 1.00)
register date environmental permit decision -> transcript decision environmental permit to stakeholders (frequency = 60, performance = 32809.68)
phase additional information received -> receive additional information (frequency = 59, performance = 1.00)
phase decision taken -> record date of decision environmental permit (frequency = 59, performance = 1.00)
enter senddate procedure confirmation -> request complete (frequency = 58, performance = 2033589.64)
registration date publication -> request complete (frequency = 58, performance = 2781782.33)
start decision phase decision permitting sent -> transcript decision environmental permit to stakeholders (frequency = 58, performance = 1.02)
create letter requesting missing data -> create subcases completeness (frequency = 55, performance = 1.02)
start WABOprocedure -> send procedure confirmation (frequency = 54, performance = 44.04)
start decision phase decision permitting sent -> submit decision (frequency = 54, performance = 6950.91)
transcript decision environmental permit to stakeholders -> treat subcases content (frequency = 54, performance = 1.00)
objection lodged against decision -> phase archived case (frequency = 53, performance = 1.00)
procedure change -> publish (frequency = 53, performance = 1.00)
phase application received -> procedure change (frequency = 52, performance = 1.00)
procedure change -> article 34  WABO applies (frequency = 51, performance = 94871.71)
transcript decision environmental permit to stakeholders -> enter date publication decision environmental permit (frequency = 50, performance = 709447.80)
create procedure confirmation -> forward to the competent authority (frequency = 49, performance = 1.04)
create publication document -> creating cover letter decision (frequency = 49, performance = 1.00)
send confirmation receipt additional data -> send letter in progress (frequency = 49, performance = 1.02)
ask stakeholders views -> grounds for refusal (frequency = 46, performance = 1.00)
phase application received -> regular procedure without MER (frequency = 46, performance = 33693.72)
completed subcases content -> procedure change (frequency = 45, performance = 1.09)
grounds for refusal -> suspension ground applicable (frequency = 45, performance = 1.60)
send letter in progress -> set decision phase decision permitting decided (frequency = 45, performance = 1.00)
set decision status -> start decision phase decision permitting sent (frequency = 45, performance = 1.00)
register deadline -> set phase: phase permitting irrevocable (frequency = 44, performance = 71584.73)
request complete -> send confirmation receipt additional data (frequency = 43, performance = 1.00)
create subcases completeness -> create subcases content (frequency = 41, performance = 1.00)
create subcases completeness -> phase asked additional information (frequency = 40, performance = 1.00)
register submission date request -> enter senddate procedure confirmation (frequency = 40, performance = 989546.78)
phase decision sent -> date decision for inspection (frequency = 39, performance = 781902.44)
receive additional information -> send confirmation receipt additional data (frequency = 39, performance = 505200.31)
request complete -> treat subcases content (frequency = 39, performance = 9.38)
register objection and appeal periods -> submit decision (frequency = 38, performance = 1.00)
assessment of content completed -> completed subcases content (frequency = 37, performance = 1.03)
suspension ground applicable -> creating cover letter decision (frequency = 37, performance = 684176.73)
create subcases completeness -> procedure change (frequency = 36, performance = 1.03)
start WABOprocedure -> enter senddate acknowledgement (frequency = 36, performance = 138243.61)
grounds for refusal -> creating environmental permit decision (frequency = 35, performance = 93281.69)
register submission date request -> registration date publication (frequency = 35, performance = 236984.17)
suspension ground applicable -> creating environmental permit decision (frequency = 35, performance = 1.66)
create subcases content -> creating cover letter decision (frequency = 34, performance = 1.00)
register number of days extension period -> enter date decision procedure term extension (frequency = 34, performance = 1666.32)
set phase: phase permitting irrevocable -> close case (frequency = 34, performance = 1809215.59)
treat subcases content -> phase advice known (frequency = 34, performance = 48.82)
MER present in supplement -> article 34  WABO applies (frequency = 33, performance = 1.00)
create procedure confirmation -> create subcases completeness (frequency = 33, performance = 61410.48)
creating decision procedure term extension -> decision date prior to decision (frequency = 33, performance = 1.03)
creating environmental permit decision -> submit decision (frequency = 33, performance = 299602.94)
phase additional information received -> phase advice known (frequency = 33, performance = 11018.33)
phase decision ready -> submit decision (frequency = 33, performance = 1.03)
transcript decision environmental permit to stakeholders -> record date of decision environmental permit (frequency = 33, performance = 234645.64)
create cover letter extend procedure term -> create decision procedure term extension (frequency = 32, performance = 1.00)
enter senddate acknowledgement -> registrer date of publishing received request (frequency = 32, performance = 1123088.88)
start decision phase extension granted -> start decision phase extension granted (frequency = 32, performance = 2701.88)
phase decision sent -> enter senddate decision environmental permit (frequency = 31, performance = 188746.58)
enter senddate procedure confirmation -> enter senddate retrieve missing data (frequency = 30, performance = 365759.93)
phase concept decision ready -> phase decision ready (frequency = 30, performance = 1.00)
procedure change -> registration date publication (frequency = 30, performance = 1.00)
receive additional information -> request complete (frequency = 30, performance = 1.00)
close case -> objection lodged against decision (frequency = 29, performance = 1.00)
enter date publication decision environmental permit -> enter senddate decision (frequency = 29, performance = 1.00)
enter senddate procedure term extension -> extend procedure term (frequency = 29, performance = 1.00)
enter senddate retrieve missing data -> enter receipt of additional data (frequency = 29, performance = 1710986.66)
enter senddate decision environmental permit -> transcript decision environmental permit to stakeholders (frequency = 28, performance = 1.00)
send procedure confirmation -> retrieve missing data (frequency = 28, performance = 1954962.54)
set decision phase decision permitting decided -> enter senddate decision environmental permit (frequency = 28, performance = 410641.00)
start WABOprocedure -> create procedure confirmation (frequency = 28, performance = 149100.75)
start WABOprocedure -> create subcases completeness (frequency = 27, performance = 2356241.78)
create decision procedure term extension -> creating decision procedure term extension (frequency = 26, performance = 1.00)
phase draft decision made -> phase draft decision ready (frequency = 26, performance = 1.00)
send letter in progress -> completed subcases content (frequency = 26, performance = 46522.62)
term for supplying missing data -> enter receipt of additional data (frequency = 26, performance = 1628572.81)
