send confirmation receipt_signed1 -> send confirmation receipt_signed2 (frequency = 4652, performance = 0.36)
send confirmation receipt_signed2 -> send confirmation receipt_signed1 (frequency = 2111, performance = 0.34)
send confirmation receipt_signed2 -> send confirmation receipt_signed2 (frequency = 592, performance = 0.26)
send confirmation receipt -> send confirmation receipt (frequency = 361, performance = 145.98)
regular procedure without MER -> send confirmation receipt (frequency = 292, performance = 1.00)
send confirmation receipt -> start WABOprocedure (frequency = 292, performance = 921.65)
send confirmation receipt -> send confirmation receipt_signed1 (frequency = 272, performance = 0.44)
forward to the competent authority -> phase application received (frequency = 269, performance = 1.00)
registration date publication -> regular procedure without MER (frequency = 263, performance = 1.00)
request complete -> send letter in progress (frequency = 260, performance = 6979.44)
creating environmental permit decision -> decision date prior to decision (frequency = 255, performance = 1.00)
OLO messaging active -> create procedure confirmation (frequency = 243, performance = 1.00)
send confirmation receipt_signed2 -> send confirmation receipt (frequency = 241, performance = 79458.35)
create procedure confirmation -> create publication document (frequency = 238, performance = 19357.25)
phase decision sent -> phase decision taken (frequency = 237, performance = 1.00)
grounds for refusal -> phase advice known (frequency = 236, performance = 1.00)
phase advice known -> phase application receptive (frequency = 230, performance = 1.00)
enter senddate decision -> enter senddate decision environmental permit (frequency = 226, performance = 1.00)
request complete -> phase advice known (frequency = 223, performance = 81305.26)
register submission date request -> phase application received (frequency = 217, performance = 482856.64)
register submission date request -> OLO messaging active (frequency = 214, performance = 550335.74)
register submission date request -> send confirmation receipt_signed1 (frequency = 212, performance = 0.50)
article 34  WABO applies -> ask stakeholders views (frequency = 210, performance = 1.00)
send letter in progress -> set decision status (frequency = 193, performance = 1.00)
procedure change -> request complete (frequency = 188, performance = 1.16)
set decision phase decision permitting decided -> start decision phase decision permitting sent (frequency = 186, performance = 14864.67)
register submission date request -> enter senddate acknowledgement (frequency = 181, performance = 702893.27)
enter senddate decision environmental permit -> send confirmation receipt_signed1 (frequency = 180, performance = 0.46)
request complete -> send confirmation receipt_signed1 (frequency = 180, performance = 0.45)
send confirmation receipt_signed2 -> enter senddate decision environmental permit (frequency = 180, performance = 418693.91)
phase application received -> send confirmation receipt (frequency = 178, performance = 6307.91)
enter senddate decision environmental permit -> phase decision sent (frequency = 177, performance = 1.05)
send confirmation receipt_signed2 -> request complete (frequency = 171, performance = 1016652.85)
send confirmation receipt -> send procedure confirmation (frequency = 160, performance = 15723.94)
generating decision environmental permit -> grounds for refusal (frequency = 156, performance = 1.00)
phase application received -> send confirmation receipt_signed1 (frequency = 155, performance = 0.46)
regular procedure without MER -> start WABOprocedure (frequency = 153, performance = 1.00)
enter senddate acknowledgement -> enter senddate procedure confirmation (frequency = 151, performance = 797435.84)
phase advice known -> send confirmation receipt_signed1 (frequency = 144, performance = 0.42)
procedure change -> send confirmation receipt_signed1 (frequency = 144, performance = 0.44)
phase advice known -> grounds for refusal (frequency = 142, performance = 2.47)
send confirmation receipt_signed2 -> phase application received (frequency = 142, performance = 359795.09)
submit decision -> suspension ground applicable (frequency = 142, performance = 1.00)
phase advice known -> creating environmental permit decision (frequency = 138, performance = 112682.56)
procedure change -> procedure change (frequency = 138, performance = 1.00)
ask stakeholders views -> assessment of content completed (frequency = 137, performance = 1.00)
completed subcases content -> coordination of application (frequency = 137, performance = 1.00)
by law -> completed subcases content (frequency = 135, performance = 1.00)
create publication document -> create subcases completeness (frequency = 131, performance = 1.00)
send confirmation receipt_signed1 -> send confirmation receipt (frequency = 128, performance = 0.36)
assessment of content completed -> by law (frequency = 127, performance = 1.00)
