prepare drinks -> Bring drinks (frequency = 8093, performance = 886.36)
Bring drinks -> Review drinks (frequency = 8090, performance = 1047.83)
Deliver to customer -> EVENT 8 END (frequency = 4847, performance = 500.25)
Bring food -> Deliver to customer (frequency = 4832, performance = 1384.92)
Signal food complete -> Bring food (frequency = 4810, performance = 7351.53)
Take order -> start (frequency = 4705, performance = 0.00)
start -> Review order (frequency = 4702, performance = 157.07)
Review drinks -> Prepare main course (frequency = 4206, performance = 461908.33)
Prepare main course -> Signal food complete (frequency = 4202, performance = 481295.22)
Review drinks -> prepare drinks (frequency = 3281, performance = 252.97)
Review order -> prepare drinks (frequency = 2991, performance = 61.22)
Prepare starter -> prepare drinks (frequency = 1852, performance = 0.90)
Review order -> Prepare starter (frequency = 1847, performance = 60.03)
Review drinks -> Signal food complete (frequency = 663, performance = 467967.79)
Take order -> Review order (frequency = 215, performance = 127.91)
start -> Take order (frequency = 152, performance = 92842.11)
prepare drinks -> Review drinks (frequency = 119, performance = 1108.11)
Bring drinks -> Prepare main course (frequency = 75, performance = 368880.47)
Signal food complete -> Deliver to customer (frequency = 74, performance = 16899.11)
Bring food -> EVENT 8 END (frequency = 64, performance = 3196.41)
Prepare main course -> Bring food (frequency = 63, performance = 453231.83)
Bring drinks -> prepare drinks (frequency = 56, performance = 429.02)
start -> prepare drinks (frequency = 52, performance = 143.46)
Review drinks -> Bring drinks (frequency = 47, performance = 336.56)
Review order -> Bring drinks (frequency = 46, performance = 359.09)
Review drinks -> Bring food (frequency = 37, performance = 256176.50)
Review order -> Prepare main course (frequency = 35, performance = 75.68)
Bring drinks -> Signal food complete (frequency = 32, performance = 190500.11)
prepare drinks -> Prepare main course (frequency = 29, performance = 68594.22)
Prepare starter -> Bring drinks (frequency = 27, performance = 251.72)
Prepare main course -> Bring drinks (frequency = 26, performance = 2579.21)
Prepare main course -> prepare drinks (frequency = 25, performance = 3.59)
review drinks -> Take order (frequency = 23, performance = 0.00)
prepare drinks -> Signal food complete (frequency = 19, performance = 82849.98)
signal food complete -> Take order (frequency = 18, performance = 0.00)
start -> Prepare starter (frequency = 18, performance = 183.74)
Prepare drinks -> Take order (frequency = 17, performance = 0.00)
Prepare main course -> Review drinks (frequency = 16, performance = 165.55)
Review drinks -> Deliver to customer (frequency = 16, performance = 88.39)
bring food -> Take order (frequency = 16, performance = 0.00)
