info received -> Check for completeness (frequency = 1998, performance = 10.00)
Request info -> info received (frequency = 1992, performance = 864.02)
Perform checks -> Make decision (frequency = 1949, performance = 1023.25)
Check for completeness -> New online application received (frequency = 1453, performance = 0.00)
Check for completeness -> Request info (frequency = 1304, performance = 884.72)
Check for completeness -> Perform checks (frequency = 1205, performance = 743.97)
Make decision -> notify reject (frequency = 1022, performance = 931.29)
Notify accept -> Deliver card (frequency = 945, performance = 626.58)
Make decision -> Notify accept (frequency = 943, performance = 600.34)
Deliver card -> EVENT 13 END (frequency = 939, performance = 807.21)
New online application received -> Perform checks (frequency = 754, performance = 832.13)
New online application received -> Request info (frequency = 697, performance = 1340.04)
notify reject -> time out (frequency = 515, performance = 559.16)
time out -> EVENT 13 END (frequency = 510, performance = 10.00)
notify reject -> review request received (frequency = 499, performance = 1989.12)
review request received -> Check for completeness (frequency = 493, performance = 10.00)
Check for completeness -> Make decision (frequency = 28, performance = 1244.06)
Request info -> Check for completeness (frequency = 27, performance = 748.10)
Check for completeness -> info received (frequency = 19, performance = 1105.94)
Make decision -> Deliver card (frequency = 15, performance = 1393.76)
Perform checks -> notify reject (frequency = 15, performance = 1059.35)
Perform checks -> Notify accept (frequency = 14, performance = 1383.04)
info received -> Request info (frequency = 14, performance = 684.97)
New online application received -> info received (frequency = 13, performance = 757.45)
info received -> Perform checks (frequency = 13, performance = 1046.95)
notify reject -> Check for completeness (frequency = 13, performance = 365.52)
New online application received -> Make decision (frequency = 12, performance = 1482.13)
Notify accept -> EVENT 13 END (frequency = 12, performance = 1077.96)
notify reject -> EVENT 13 END (frequency = 10, performance = 506.64)
perform checks -> Check for completeness (frequency = 8, performance = 0.00)
Info received -> Check for completeness (frequency = 7, performance = 0.00)
request info -> Check for completeness (frequency = 6, performance = 0.00)
Make decision -> time out (frequency = 5, performance = 931.94)
review request received -> Perform checks (frequency = 5, performance = 729.88)
check for completeness -> New online application received (frequency = 4, performance = 0.00)
make decision -> Check for completeness (frequency = 4, performance = 0.00)
notify accept -> Check for completeness (frequency = 4, performance = 0.00)
Check for compelteness -> Check for completeness (frequency = 3, performance = 0.00)
Check for completeness -> Check for completeness (frequency = 3, performance = 1060.25)
EVENT 13 END -> EVENT 13 END (frequency = 3, performance = 0.00)
Make dcision -> Check for completeness (frequency = 3, performance = 0.00)
Make decision -> EVENT 13 END (frequency = 3, performance = 1735.92)
Time out -> Check for completeness (frequency = 3, performance = 0.00)
check for completeness -> Check for completeness (frequency = 3, performance = 0.00)
eVENT 13 END -> Check for completeness (frequency = 3, performance = 0.00)
new online application received -> Check for completeness (frequency = 3, performance = 0.00)
Check for completness -> New online application received (frequency = 2, performance = 0.00)
EVET 13 END -> Check for completeness (frequency = 2, performance = 0.00)
Make decisin -> Check for completeness (frequency = 2, performance = 0.00)
Make decision -> review request received (frequency = 2, performance = 431.73)
New online application received -> Check for completeness (frequency = 2, performance = 1856.00)
Notify accpt -> Check for completeness (frequency = 2, performance = 0.00)
Notify reject -> Check for completeness (frequency = 2, performance = 0.00)
Perfor checks -> Check for completeness (frequency = 2, performance = 0.00)
Perfor mchecks -> Check for completeness (frequency = 2, performance = 0.00)
Perform checs -> Check for completeness (frequency = 2, performance = 0.00)
Request inf -> Check for completeness (frequency = 2, performance = 0.00)
Request nifo -> Check for completeness (frequency = 2, performance = 0.00)
VENT 13 END -> Check for completeness (frequency = 2, performance = 0.00)
info received -> info received (frequency = 2, performance = 2818.77)
review request received -> Request info (frequency = 2, performance = 436.55)
time ou -> Check for completeness (frequency = 2, performance = 0.00)
CVheck for completeness -> inf received (frequency = 1, performance = 2018.69)
ChDeck for completeness -> Check for completeness (frequency = 1, performance = 0.00)
ChOeck for completeness -> New online application received (frequency = 1, performance = 0.00)
Chcek for completeness -> info Ureceived (frequency = 1, performance = 4697.96)
Chec for completeness -> Check for completeness (frequency = 1, performance = 0.00)
Check Dfor completeness -> notify accept (frequency = 1, performance = 806.39)
Check fo completeness -> Make dcision (frequency = 1, performance = 2302.68)
Check fo rcompleteness -> New online application received (frequency = 1, performance = 0.00)
Check fo rcompleteness -> inf oreceived (frequency = 1, performance = 1528.05)
Check foKr completeness -> New online application received (frequency = 1, performance = 0.00)
Check foe completeness -> Perfoyrm checks (frequency = 1, performance = 524.75)
Check for Pcompleteness -> Check for completeness (frequency = 1, performance = 0.00)
Check for cimpleteness -> New online application received (frequency = 1, performance = 0.00)
Check for clmpleteness -> Request inf; (frequency = 1, performance = 515.15)
Check for cmpleteness -> Reqjest info (frequency = 1, performance = 3753.19)
Check for coCmpleteness -> Check for completeness (frequency = 1, performance = 0.00)
Check for comlpeteness -> Check for completeness (frequency = 1, performance = 0.00)
Check for compZleteness -> New online application received (frequency = 1, performance = 0.00)
Check for compelteness -> New online applciation received (frequency = 1, performance = 0.00)
Check for compleBteness -> Request inifo (frequency = 1, performance = 504.95)
Check for completLeness -> Check for completeness (frequency = 1, performance = 0.00)
Check for completUeness -> Check for completeness (frequency = 1, performance = 0.00)
Check for completeess -> Deliver ard (frequency = 1, performance = 7562.52)
Check for completelness -> New online application received (frequency = 1, performance = 0.00)
Check for completeneKss -> review rmequest received (frequency = 1, performance = 7612.51)
Check for completenes -> Perfor mchecks (frequency = 1, performance = 1042.76)
Check for completenesDs -> Check for completeness (frequency = 1, performance = 0.00)
Check for completeness -> notify reject (frequency = 1, performance = 1681.14)
Check for completfness -> Check for completeness (frequency = 1, performance = 0.00)
Check for completneess -> EVENT 3 END (frequency = 1, performance = 1144.30)
Check for completreness -> Make Wdecision (frequency = 1, performance = 3737.70)
Check for completveness -> New online application received (frequency = 1, performance = 0.00)
Check for compleyeness -> Check for completeness (frequency = 1, performance = 0.00)
Check for complreteness -> New online application received (frequency = 1, performance = 0.00)
Check for complteness -> Check for completeness (frequency = 1, performance = 0.00)
Check for compnleteness -> Check for completeness (frequency = 1, performance = 0.00)
Check for copleteness -> New online application received (frequency = 1, performance = 0.00)
Check for copmleteness -> New online application received (frequency = 1, performance = 0.00)
